"party";"candidate_nr";"candidate_name";"candidate_votes";"candidate_position";"party_votes_const";"prop_candidate_votes_party";"prop_candidate_votes_constituency";"constituency"
"Eesti Keskerakond";910;"VADIM BELOBROVTSEV";3231;2;12870;0,251048951048951;0,0524427852621328;1
"Eesti Keskerakond";912;"ANASTASSIA KOVALENKO-KÕLVART";2806;4;12870;0,218026418026418;0,0455445544554455;1
"Eesti Keskerakond";909;"TANEL KIIK";2070;1;12870;0,160839160839161;0,0335984418113943;1
"Eesti Keskerakond";917;"OLEG SILJANOV";1213;9;12870;0,0942501942501942;0,0196883622788508;1
"Eesti Keskerakond";911;"MAREK JÜRGENSON";738;3;12870;0,0573426573426573;0,011978574906671;1
"Eesti Keskerakond";914;"BETINA BEŠKINA";556;6;12870;0,0432012432012432;0,00902450900827788;1
"Eesti Keskerakond";915;"JAANUS RIIBE";492;7;12870;0,0382284382284382;0,00798571660444733;1
"Eesti Keskerakond";916;"MANUELA PIHLAP";471;8;12870;0,0365967365967366;0,00764486284694043;1
"Eesti Keskerakond";913;"ANDRE HANIMÄGI";466;5;12870;0,0362082362082362;0,00756370719039117;1
"Eesti Keskerakond";920;"MÄRT SULTS";394;12;12870;0,0306138306138306;0,00639506573608181;1
"Eesti Keskerakond";918;"PEETER JÄRVELAID";252;10;12870;0,0195804195804196;0,00409024509008278;1
"Eesti Keskerakond";919;"KRISTI RÜÜTEL";181;11;12870;0,0140637140637141;0,00293783476708327;1
"Eesti Konservatiivne Rahvaerakond";535;"VARRO VOOGLAID";2509;2;5956;0,421255876427132;0,0407239084564194;1
"Eesti Konservatiivne Rahvaerakond";534;"URMAS REITELMANN";1520;1;5956;0,25520483546004;0,0246713195909755;1
"Eesti Konservatiivne Rahvaerakond";542;"ANDRES RAID";545;9;5956;0,0915043653458697;0,0088459665638695;1
"Eesti Konservatiivne Rahvaerakond";539;"ELVIS BRAUER";432;6;5956;0,0725319006044325;0,00701184872585619;1
