"name","party","Q_1","Q_2","Q_3","Q_4","Q_5","Q_6","Q_7","Q_8","Q_9","Q_10","Q_11","Q_12","Q_13","Q_14","Q_15","Q_16","Q_17","Q_18","Q_19","Q_20","Q_21","Q_22","Q_23","Q_24","Q_25","Q_26","Q_27","Q_28","Q_29"
"Raimond Kaljulaid","SDE",2,4,2,3,NA,3,1,NA,1,4,4,NA,3,4,1,NA,NA,4,1,4,1,1,1,2,4,1,4,4,4
"Katrin Helendi","Reformierakond",2,1,3,3,2,3,3,NA,2,4,3,NA,3,NA,NA,3,2,2,2,3,NA,1,2,3,3,3,3,3,3
"Ivi Eenmaa","Reformierakond",2,1,1,4,3,4,3,3,2,3,4,2,1,3,2,NA,2,3,1,3,3,1,1,3,3,3,4,3,2
"Tiit Soorm","Reformierakond",2,1,1,3,3,3,4,2,2,3,4,3,4,2,3,3,4,1,2,3,3,1,2,2,3,4,2,4,2
"Sander Andla","Reformierakond",2,1,1,4,1,2,3,2,1,3,2,3,1,NA,2,4,4,2,1,3,1,1,2,4,4,3,3,4,3
"Vilja Toomast","Reformierakond",3,1,1,3,4,4,1,3,2,4,4,2,3,4,1,3,2,3,2,4,2,1,2,3,3,3,3,4,3
"Ülle Rajasalu","Reformierakond",2,1,1,3,2,3,3,2,2,3,4,3,2,3,4,2,3,2,1,4,2,1,1,2,3,3,3,4,3
"Urmas Paet","Reformierakond",2,1,1,4,3,3,3,3,2,3,4,3,3,4,1,3,3,2,2,4,2,1,2,3,3,2,3,3,3
"Merle Pussak","Reformierakond",2,1,1,2,2,3,4,2,2,4,3,3,2,4,1,4,3,3,1,4,2,1,3,2,3,3,3,4,2
"Riho Johanson","Reformierakond",2,1,1,4,4,4,3,3,2,3,4,1,3,2,3,4,4,2,1,4,2,1,2,2,1,3,4,4,3
"Lembit Kolk","Reformierakond",3,3,2,2,1,4,3,3,2,3,4,3,1,3,3,3,3,1,2,4,3,2,2,3,3,4,2,3,3
"Sten Laansoo","Reformierakond",3,1,1,4,1,3,1,3,2,4,3,3,2,4,1,4,4,4,3,3,3,2,2,3,4,3,3,4,3
"Merili Ranniste","Reformierakond",3,2,2,2,3,3,3,2,2,3,4,3,3,4,1,3,3,3,2,3,2,2,3,3,3,3,3,3,2
"Tiit Kuusmik","Reformierakond",3,3,4,2,4,2,2,4,2,1,3,2,4,2,4,2,1,3,3,3,2,1,2,3,3,2,3,2,NA
"Margit Sutrop","Reformierakond",2,1,2,3,2,4,2,3,1,3,3,2,3,2,3,2,2,3,2,4,2,1,4,1,3,3,3,3,2
"Katrin Kuusemäe","Reformierakond",2,1,1,3,2,3,3,2,2,4,2,3,1,NA,1,NA,4,3,1,4,1,1,4,1,3,3,4,4,2
"Ivar Lilleberg","Reformierakond",2,1,2,3,3,2,4,1,3,4,4,3,3,NA,3,NA,3,1,3,4,2,2,4,3,4,4,3,4,3
"Jürgen Ligi","Reformierakond",2,1,1,4,2,3,3,2,2,3,3,2,3,3,3,3,2,2,2,4,1,2,2,2,3,3,2,4,3
"Taimo Tugi","Reformierakond",2,2,2,3,2,3,4,2,3,3,4,2,3,3,4,4,2,2,2,4,1,2,2,2,4,3,3,3,3
"Kaisa Edenberg","Reformierakond",2,1,1,3,2,3,4,1,1,4,4,4,1,4,1,4,4,1,1,3,1,1,1,3,4,4,1,4,3
"Valdo Randpere","Reformierakond",2,1,1,3,1,4,3,2,3,4,4,4,1,4,1,4,3,3,1,4,4,1,1,3,4,4,4,3,3
"Doris Raudsepp","Reformierakond",3,1,3,4,2,3,3,2,1,4,3,3,4,4,2,4,3,4,2,4,3,1,3,3,4,3,4,4,3
"Kalle Laanet","Reformierakond",3,2,3,3,2,3,3,2,3,2,3,3,2,1,3,3,3,1,1,3,2,2,2,2,3,3,3,3,3
"Eero Merilind","Reformierakond",2,3,2,3,4,1,3,2,3,3,3,3,3,4,1,4,4,3,2,3,2,3,2,4,3,3,3,3,3
"Mario Kadastik","Reformierakond",2,2,3,4,3,3,3,2,2,4,3,4,2,4,1,4,4,2,2,4,2,1,2,3,4,4,3,4,4
"Jaanus Tamkivi","Reformierakond",3,2,2,3,2,3,1,3,1,4,4,3,4,2,3,3,4,2,1,4,2,1,1,3,4,3,4,4,3
"Liis Klaar","Reformierakond",3,3,3,3,2,4,3,3,2,3,4,2,1,2,4,4,2,3,2,2,2,1,3,2,2,4,3,3,4
"Kristo Enn Vaga","Reformierakond",2,1,2,3,2,3,3,3,2,4,1,3,2,3,2,4,4,3,2,4,2,1,3,3,3,3,3,4,3
"Mati Raidma","Reformierakond",2,1,1,3,1,4,4,2,2,4,2,4,4,3,1,4,4,1,1,4,2,1,2,2,4,4,4,4,2
"Hanno Pevkur","Reformierakond",2,1,1,3,1,4,3,1,2,3,3,3,2,3,3,4,4,2,2,4,2,1,2,3,4,3,3,3,3
"Lauri Laats","Keskerakond",4,4,4,2,4,2,2,2,3,3,3,3,3,2,4,3,3,2,2,3,3,4,3,1,2,2,3,3,3
"Merle Klandorf","Keskerakond",2,3,3,3,4,4,4,1,3,2,4,2,3,1,4,3,1,1,1,3,1,3,3,1,2,4,3,1,3
"Oleg Siljanov","Keskerakond",3,4,4,2,3,3,2,2,2,3,3,3,4,NA,3,3,3,2,2,3,3,4,3,1,2,3,3,4,2
"Igor Kravtšenko","Keskerakond",3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,3,2,1,3,2,4,3,3,2,2,4,2,3
"Vahur Kõlvart","Keskerakond",2,4,4,2,4,2,2,NA,NA,2,3,NA,3,NA,3,3,NA,2,2,1,2,4,3,2,2,3,2,3,3
"Vadim Belobrovtsev","Keskerakond",3,3,4,2,3,2,2,3,3,2,3,4,3,1,4,4,NA,3,2,4,1,4,4,1,2,NA,NA,3,3
"Arvo Aller","EKRE",4,3,4,2,4,4,1,1,3,1,4,1,4,1,4,3,2,1,1,1,2,1,3,2,1,4,4,1,2
"Katrin Pauts","Keskerakond",3,3,3,3,4,3,3,2,1,3,4,2,2,4,2,4,4,2,2,3,2,1,2,NA,2,3,2,3,2
"Ene Vahter","Keskerakond",2,2,3,3,2,4,2,2,1,2,4,3,3,3,3,3,2,3,2,3,1,1,3,2,3,2,3,4,2
"Jaanus Karilaid","Keskerakond",3,3,3,3,4,3,3,2,2,2,4,3,3,2,4,3,4,2,1,3,1,3,3,1,1,3,2,2,2
"Ago Kaasik","Parempoolsed",2,1,1,3,2,4,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,3,4,4,3,4,3
"Igor Gräzin","Keskerakond",2,3,4,3,4,2,4,3,4,1,4,3,3,3,3,3,3,4,1,4,NA,4,2,4,2,4,3,1,1
"Lauri Drubinš","Reformierakond",3,2,3,4,3,3,3,3,2,3,3,3,2,3,3,4,3,2,1,4,2,1,2,2,3,3,4,3,3
"Lauri Vahtre","Isamaa",2,2,2,4,2,4,4,1,3,2,4,1,4,1,4,3,3,1,1,4,2,1,3,2,3,4,3,2,3
"Ülle Juht","Keskerakond",4,4,4,1,3,1,1,2,3,1,3,2,4,2,4,3,3,3,1,2,1,2,4,1,3,4,2,2,3
"Jüri Saar","Keskerakond",4,4,4,1,1,3,4,3,1,1,4,2,4,1,4,3,1,2,1,3,1,1,4,1,3,1,4,1,1
"Eerik-Niiles Kross","Reformierakond",2,1,1,3,1,3,3,2,2,4,NA,2,2,3,2,NA,NA,3,2,4,3,2,1,3,3,4,3,3,3
"Jüri Lebedev","Reformierakond",3,1,2,3,NA,3,3,2,2,3,4,3,2,NA,3,3,2,3,1,4,2,3,2,2,2,4,3,3,3
"Hardi Pikkmets","Keskerakond",3,3,3,3,3,2,4,2,3,3,4,2,3,1,4,4,2,1,1,3,2,1,3,1,1,4,4,2,4
"Kalev Kaljuste","Keskerakond",4,3,3,2,3,2,3,2,2,3,3,3,4,2,3,3,2,2,2,4,2,4,3,3,2,3,3,3,4
"Varje Tipp","Keskerakond",4,3,3,2,4,2,3,3,3,3,4,3,4,2,4,2,1,3,1,3,1,3,4,4,3,2,4,2,1
"Marika Valter","Reformierakond",2,2,3,2,2,3,4,1,1,4,4,3,2,3,2,3,4,4,2,3,3,1,3,1,4,3,2,3,3
"Erli Aasamets","Keskerakond",3,4,3,3,3,4,3,2,2,3,2,3,3,NA,NA,NA,3,3,2,3,2,3,2,2,2,NA,3,3,3
"Andrus Seeme","Reformierakond",4,2,2,2,2,2,3,1,3,2,3,4,3,1,4,3,2,1,2,4,1,1,1,2,3,4,4,3,2
"Andrus Umboja","Reformierakond",2,1,1,4,1,3,2,3,2,3,3,2,3,3,2,4,3,2,2,4,2,2,2,2,4,3,4,3,3
"Tarmo Tamm","Keskerakond",4,4,4,3,3,2,3,2,2,2,3,2,3,2,3,3,2,2,1,4,1,3,2,2,2,2,3,3,2
"Eve Kislov","SDE",4,3,3,3,4,2,2,2,3,2,2,3,3,2,3,4,3,2,2,3,2,3,3,2,2,3,4,3,3
"Angela Siinor","SDE",3,3,3,2,3,3,3,3,2,3,4,2,3,NA,NA,3,2,2,2,2,2,2,2,3,2,2,3,3,2
"Reili Rand","SDE",3,4,3,2,3,4,3,3,1,4,3,4,4,4,1,4,4,4,1,4,2,3,3,1,1,2,3,4,2
"Liis Rosin","SDE",3,2,3,2,2,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3,2,2,3,3,3,3,3,4,2
"Margit Väikmeri","SDE",2,3,2,1,2,4,3,3,2,3,3,3,3,3,1,4,3,3,3,3,1,3,4,2,2,3,4,4,4
"Kaarel Oja","SDE",3,4,3,3,NA,3,3,3,2,4,2,3,3,4,1,4,4,4,2,3,3,3,3,2,3,2,2,4,3
"Jevgeni Ossinovski","SDE",2,3,2,1,NA,2,2,2,2,4,3,3,1,4,1,4,4,3,2,4,NA,4,2,2,NA,1,2,4,2
"Eiki Nestor","SDE",2,4,2,3,4,3,3,2,2,4,2,3,2,4,1,4,3,3,3,4,3,3,4,2,1,1,3,4,2
"Tõnu Oja","SDE",3,4,2,4,4,2,1,2,2,4,3,3,3,3,1,3,NA,3,2,3,1,3,2,3,1,4,4,4,3
"Lauri Paeveer","SDE",3,3,2,4,4,3,3,2,2,2,3,2,3,3,1,4,3,2,2,3,3,2,2,2,1,3,4,4,3
"Anneli Pärlin","SDE",3,4,2,3,2,3,3,3,2,3,4,3,2,3,2,3,3,2,2,3,2,1,3,2,NA,3,2,4,2
"Mari Speek","SDE",3,4,4,2,2,3,3,4,2,4,1,4,1,4,1,4,4,4,3,4,3,3,4,4,4,1,1,4,2
"Reno Laidre","Reformierakond",3,1,2,3,1,4,3,2,2,4,4,4,3,3,2,4,4,2,1,4,2,1,NA,1,4,3,3,4,4
"Maris Jõgeva","SDE",2,3,3,3,3,3,2,3,1,4,NA,3,2,4,NA,3,3,4,2,4,NA,3,3,2,3,1,2,4,2
"Hele Everaus","Reformierakond",3,1,2,3,4,3,3,2,2,2,3,3,2,2,4,2,2,2,1,3,2,2,2,3,3,1,3,2,2
